Ano,Imigrantes,Participacao_%,YoY_Abs,YoY_%,MM5,Acumulado
1980,211,0.2128367814236864,,,211.0,211
1981,220,0.19898157611497516,9.0,4.2654028436019065,215.5,431
1982,192,0.18413556981327503,-28.0,-12.727272727272732,207.66666666666666,623
1983,139,0.1839841164791529,-53.0,-27.604166666666664,190.5,762
1984,145,0.19750194096735088,6.0,4.316546762589923,181.4,907
1985,130,0.1857726714110149,-15.0,-10.344827586206895,165.2,1037
1986,205,0.2382391223503161,75.0,57.692307692307686,162.2,1242
1987,244,0.18104785154076172,39.0,19.024390243902435,172.6,1486
1988,394,0.28283060313267194,150.0,61.475409836065566,223.6,1880
1989,650,0.3953001848788557,256.0,64.9746192893401,324.6,2530
1990,650,0.3456453997256107,0.0,0.0,428.6,3180
1991,877,0.4226322713713622,227.0,34.92307692307692,563.0,4057
1992,1066,0.4808581468466802,189.0,21.550741163055864,727.4,5123
1993,866,0.39000400812433295,-200.0,-18.761726078799246,821.8,5989
1994,566,0.29225724834120775,-300.0,-34.64203233256351,805.0,6555
1995,572,0.30472212751449024,6.0,1.0600706713780994,789.4,7127
1996,586,0.29287552790064225,14.0,2.447552447552437,731.2,7713
1997,591,0.3064001866397076,5.0,0.8532423208191142,636.2,8304
1998,531,0.33037386375655614,-60.0,-10.152284263959388,569.2,8835
1999,626,0.34812977566205827,95.0,17.890772128060274,581.2,9461
2000,845,0.3899184170696593,219.0,34.984025559105426,635.8,10306
2001,847,0.34907250569767106,2.0,0.2366863905325367,688.0,11153
2002,745,0.33391450892156815,-102.0,-12.042502951593859,718.8,11898
2003,839,0.3861074934306502,94.0,12.617449664429525,780.4,12737
2004,917,0.39511726408224646,78.0,9.29678188319427,838.6,13654
2005,969,0.3763735303371048,52.0,5.670665212649939,863.4,14623
2006,1181,0.47802733782082674,212.0,21.8782249742002,930.2,15804
2007,1746,0.751274714399432,565.0,47.840812870448765,1130.4,17550
2008,2138,0.8796652499310833,392.0,22.45131729667813,1390.2,19688
2009,2509,1.0085702341137124,371.0,17.352666043030872,1708.6,22197
2010,2598,0.9380551423330781,89.0,3.5472299721004408,2034.4,24795
2011,1508,0.6125250818460238,-1090.0,-41.95535026943803,2099.8,26303
2012,1642,0.640850512446238,134.0,8.885941644562333,2079.0,27945
2013,1714,0.6655354376264381,72.0,4.384896467722288,1994.2,29659
